Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
mindustry.world.blocks.units.RepairTower.RepairTowerBuild.range(),0,1,1,1
mindustry.world.blocks.units.RepairTower.RepairTowerBuild.shouldConsume(),0,1,1,1
mindustry.world.blocks.units.RepairTower.RepairTowerBuild.updateTile(),13,2,6,9
mindustry.world.blocks.units.RepairTower.RepairTowerBuild.warmup(),0,1,1,1
"mindustry.world.blocks.units.RepairTower.drawPlace(int, int, int, boolean)",0,1,1,1
mindustry.world.blocks.units.RepairTower.setStats(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.buildRotation(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.draw(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.drawSelect(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.range(),0,1,1,1
"mindustry.world.blocks.units.RepairTurret.RepairPointBuild.read(Reads, byte)",1,1,2,2
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.shouldConsume(),1,1,1,2
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.status(),1,1,2,2
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.updateTile(),11,1,9,12
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.version(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairPointBuild.write(Writes),0,1,1,1
mindustry.world.blocks.units.RepairTurret.RepairTurret(String),0,1,1,1
"mindustry.world.blocks.units.RepairTurret.drawBeam(float, float, float, float, int, Sized, Team, ...)",5,1,5,5
"mindustry.world.blocks.units.RepairTurret.drawPlace(int, int, int, boolean)",0,1,1,1
mindustry.world.blocks.units.RepairTurret.icons(),0,1,1,1
mindustry.world.blocks.units.RepairTurret.init(),1,1,2,2
mindustry.world.blocks.units.RepairTurret.setStats(),1,1,2,2
mindustry.world.blocks.units.UnitAssembler.AssemblerUnitPlan.AssemblerUnitPlan(),0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.AssemblerUnitPlan.AssemblerUnitPlan(UnitType, float, Seq<PayloadStack>)",0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssembler(String),0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.acceptItem(Building, Item)",1,1,3,3
"mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.acceptPayload(Building, Payload)",3,1,3,4
"mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.checkSolid(Vec2, boolean)",8,1,9,11
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.checkTier(),5,3,4,4
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.display(Table),6,4,2,4
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.draw(),11,4,7,10
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.drawSelect(),1,1,2,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.droneSpawned(int),1,1,2,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.getCommandPosition(),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.getMaximumAccepted(Item),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.getPayloads(),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.getUnitSpawn(),0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.moduleFits(Block, float, float, int)",1,2,1,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.onCommand(Vec2),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.plan(),0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.read(Reads, byte)",2,1,3,3
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.ready(),1,1,1,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.removeModule(UnitAssemblerModuleBuild),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.sense(LAccess),1,2,1,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.shouldConsume(),1,1,5,5
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.spawned(),5,1,7,7
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.unit(),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.updateModules(UnitAssemblerModuleBuild),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.updateTile(),40,1,20,32
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.version(),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.write(Writes),1,1,2,2
mindustry.world.blocks.units.UnitAssembler.UnitAssemblerBuild.yeetPayload(Payload),0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.YeetData.YeetData(Vec2, UnlockableContent)",0,1,1,1
"mindustry.world.blocks.units.UnitAssembler.assemblerDroneSpawned(Tile, int)",2,2,1,3
mindustry.world.blocks.units.UnitAssembler.assemblerUnitSpawned(Tile),2,2,1,3
"mindustry.world.blocks.units.UnitAssembler.canPlaceOn(Tile, Team, int)",2,1,3,3
"mindustry.world.blocks.units.UnitAssembler.drawPlace(int, int, int, boolean)",1,1,1,2
"mindustry.world.blocks.units.UnitAssembler.drawPlanRegion(BuildPlan, Eachable<BuildPlan>)",1,1,1,2
"mindustry.world.blocks.units.UnitAssembler.getRect(Rect, float, float, int)",0,1,1,1
mindustry.world.blocks.units.UnitAssembler.icons(),0,1,1,1
mindustry.world.blocks.units.UnitAssembler.init(),15,1,6,8
mindustry.world.blocks.units.UnitAssembler.setBars(),14,1,7,8
mindustry.world.blocks.units.UnitAssembler.setStats(),69,2,12,12
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModule(String),0,1,1,1
"mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.acceptPayload(Building, Payload)",1,1,3,3
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.draw(),5,1,4,5
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.drawSelect(),1,1,2,2
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.findLink(),2,1,3,3
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.onRemoved(),1,1,2,2
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.tier(),0,1,1,1
mindustry.world.blocks.units.UnitAssemblerModule.UnitAssemblerModuleBuild.updateTile(),3,1,8,8
"mindustry.world.blocks.units.UnitAssemblerModule.canPlaceOn(Tile, Team, int)",0,1,1,1
"mindustry.world.blocks.units.UnitAssemblerModule.drawPlace(int, int, int, boolean)",1,1,2,2
"mindustry.world.blocks.units.UnitAssemblerModule.drawPlanRegion(BuildPlan, Eachable<BuildPlan>)",1,1,1,2
"mindustry.world.blocks.units.UnitAssemblerModule.getLink(Team, int, int, int)",0,1,1,1
mindustry.world.blocks.units.UnitAssemblerModule.icons(),0,1,1,1
mindustry.world.blocks.units.UnitAssemblerModule.setStats(),0,1,1,1
mindustry.world.blocks.units.UnitBlock.UnitBlock(String),0,1,1,1
mindustry.world.blocks.units.UnitBlock.UnitBuild.dumpPayload(),1,1,2,2
mindustry.world.blocks.units.UnitBlock.UnitBuild.spawned(),0,1,1,1
mindustry.world.blocks.units.UnitBlock.unitBlockSpawn(Tile),2,2,1,3
mindustry.world.blocks.units.UnitCargoLoader.UnitCargoLoader(String),0,1,1,1
"mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.acceptItem(Building, Item)",0,1,1,1
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.draw(),2,1,2,2
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.progress(),0,1,1,1
"mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.read(Reads, byte)",0,1,1,1
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.shouldConsume(),0,1,1,1
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.spawned(int),1,1,1,2
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.totalProgress(),0,1,1,1
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.updateTile(),19,1,10,13
mindustry.world.blocks.units.UnitCargoLoader.UnitTransportSourceBuild.write(Writes),1,1,1,2
"mindustry.world.blocks.units.UnitCargoLoader.canPlaceOn(Tile, Team, int)",1,1,2,2
"mindustry.world.blocks.units.UnitCargoLoader.drawPlace(int, int, int, boolean)",1,1,2,2
mindustry.world.blocks.units.UnitCargoLoader.outputsItems(),0,1,1,1
mindustry.world.blocks.units.UnitCargoLoader.setBars(),6,1,3,3
"mindustry.world.blocks.units.UnitCargoLoader.unitTetherBlockSpawned(Tile, int)",2,2,1,3
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPoint(String),0,1,1,1
"mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.acceptStack(Item, int, Teamc)",0,1,1,1
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.buildConfiguration(Table),0,1,1,1
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.config(),0,1,1,1
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.draw(),1,1,2,2
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.drawSelect(),0,1,1,1
"mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.read(Reads, byte)",0,1,1,1
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.updateTile(),4,1,3,5
mindustry.world.blocks.units.UnitCargoUnloadPoint.UnitCargoUnloadPointBuild.write(Writes),1,1,1,2
mindustry.world.blocks.units.UnitFactory.UnitFactory(String),20,5,5,13
"mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.acceptItem(Building, Item)",1,1,3,3
"mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.acceptPayload(Building, Payload)",0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.buildConfiguration(Table),30,1,10,12
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.canSetCommand(),2,1,5,5
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.config(),0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.created(),1,1,2,2
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.display(Table),9,1,3,4
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.draw(),1,1,2,2
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.drawSelect(),2,1,2,4
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.fraction(),1,1,2,2
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.getCommandPosition(),0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.getMaximumAccepted(Item),0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.onCommand(Vec2),0,1,1,1
"mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.read(Reads, byte)",2,1,3,3
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.sense(LAccess),2,3,3,3
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.senseObject(LAccess),3,2,3,3
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.shouldConsume(),2,2,1,3
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.unit(),1,1,2,2
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.updateTile(),25,3,6,14
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.version(),0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitFactoryBuild.write(Writes),0,1,1,1
mindustry.world.blocks.units.UnitFactory.UnitPlan.UnitPlan(),0,1,1,1
"mindustry.world.blocks.units.UnitFactory.UnitPlan.UnitPlan(UnitType, float, ItemStack[])",0,1,1,1
"mindustry.world.blocks.units.UnitFactory.drawPlanRegion(BuildPlan, Eachable<BuildPlan>)",0,1,1,1
mindustry.world.blocks.units.UnitFactory.getPlanConfigs(Seq<UnlockableContent>),3,1,3,3
mindustry.world.blocks.units.UnitFactory.icons(),0,1,1,1
mindustry.world.blocks.units.UnitFactory.init(),3,1,3,3
mindustry.world.blocks.units.UnitFactory.outputsItems(),0,1,1,1
mindustry.world.blocks.units.UnitFactory.setBars(),19,1,6,6
mindustry.world.blocks.units.UnitFactory.setStats(),24,2,6,6
mindustry.world.consumers.Consume.apply(Block),0,1,1,1
mindustry.world.consumers.Consume.boost(),0,1,1,1
"mindustry.world.consumers.Consume.build(Building, Table)",0,1,1,1
mindustry.world.consumers.Consume.display(Stats),0,1,1,1
mindustry.world.consumers.Consume.efficiency(Building),0,1,1,1
mindustry.world.consumers.Consume.efficiencyMultiplier(Building),0,1,1,1
mindustry.world.consumers.Consume.ignore(),0,1,1,1
"mindustry.world.consumers.Consume.optional(boolean, boolean)",0,1,1,1
mindustry.world.consumers.Consume.trigger(Building),0,1,1,1
mindustry.world.consumers.Consume.update(Building),0,1,1,1
mindustry.world.consumers.Consume.update(boolean),0,1,1,1
mindustry.world.consumers.ConsumeCoolant.ConsumeCoolant(),0,1,1,1
mindustry.world.consumers.ConsumeCoolant.ConsumeCoolant(float),0,1,1,1
"mindustry.world.consumers.ConsumeCoolant.ConsumeCoolant(float, boolean, boolean)",4,1,1,7
mindustry.world.consumers.ConsumeItemCharged.ConsumeItemCharged(),0,1,1,1
mindustry.world.consumers.ConsumeItemCharged.ConsumeItemCharged(float),0,1,1,1
mindustry.world.consumers.ConsumeItemCharged.itemEfficiencyMultiplier(Item),0,1,1,1
"mindustry.world.consumers.ConsumeItemDynamic.ConsumeItemDynamic(Func<T, ItemStack[]>)",0,1,1,1
mindustry.world.consumers.ConsumeItemDynamic.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeItemDynamic.build(Building, Table)",3,1,2,2
mindustry.world.consumers.ConsumeItemDynamic.efficiency(Building),2,1,2,3
"mindustry.world.consumers.ConsumeItemDynamic.rebuild(Building, Table)",4,1,4,4
mindustry.world.consumers.ConsumeItemDynamic.trigger(Building),1,1,2,2
mindustry.world.consumers.ConsumeItemEfficiency.ConsumeItemEfficiency(),0,1,1,1
mindustry.world.consumers.ConsumeItemEfficiency.ConsumeItemEfficiency(Boolf<Item>),0,1,1,1
mindustry.world.consumers.ConsumeItemEfficiency.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeItemExplode.ConsumeItemExplode(),0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.ConsumeItemExplode(float),0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeItemExplode.build(Building, Table)",0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.display(Stats),0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.efficiency(Building),0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.trigger(Building),0,1,1,1
mindustry.world.consumers.ConsumeItemExplode.update(Building),4,1,4,4
mindustry.world.consumers.ConsumeItemExplosive.ConsumeItemExplosive(),0,1,1,1
mindustry.world.consumers.ConsumeItemExplosive.ConsumeItemExplosive(float),0,1,1,1
mindustry.world.consumers.ConsumeItemExplosive.itemEfficiencyMultiplier(Item),0,1,1,1
mindustry.world.consumers.ConsumeItemFilter.ConsumeItemFilter(),0,1,1,1
mindustry.world.consumers.ConsumeItemFilter.ConsumeItemFilter(Boolf<Item>),0,1,1,1
mindustry.world.consumers.ConsumeItemFilter.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeItemFilter.build(Building, Table)",1,1,3,3
mindustry.world.consumers.ConsumeItemFilter.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeItemFilter.efficiency(Building),2,1,2,3
mindustry.world.consumers.ConsumeItemFilter.efficiencyMultiplier(Building),1,1,2,2
mindustry.world.consumers.ConsumeItemFilter.getConsumed(Building),4,3,3,4
mindustry.world.consumers.ConsumeItemFilter.itemEfficiencyMultiplier(Item),0,1,1,1
mindustry.world.consumers.ConsumeItemFilter.trigger(Building),1,1,2,2
mindustry.world.consumers.ConsumeItemFilter.update(Building),0,1,1,1
mindustry.world.consumers.ConsumeItemFlammable.ConsumeItemFlammable(),0,1,1,1
mindustry.world.consumers.ConsumeItemFlammable.ConsumeItemFlammable(float),0,1,1,1
mindustry.world.consumers.ConsumeItemFlammable.itemEfficiencyMultiplier(Item),0,1,1,1
mindustry.world.consumers.ConsumeItemList.ConsumeItemList(),0,1,1,1
mindustry.world.consumers.ConsumeItemList.ConsumeItemList(Item...),1,1,2,2
mindustry.world.consumers.ConsumeItemList.efficiencyMultiplier(Building),0,1,1,1
mindustry.world.consumers.ConsumeItemList.setMultipliers(Object...),1,1,2,2
mindustry.world.consumers.ConsumeItemRadioactive.ConsumeItemRadioactive(),0,1,1,1
mindustry.world.consumers.ConsumeItemRadioactive.ConsumeItemRadioactive(float),0,1,1,1
mindustry.world.consumers.ConsumeItemRadioactive.itemEfficiencyMultiplier(Item),0,1,1,1
mindustry.world.consumers.ConsumeItems.ConsumeItems(),0,1,1,1
mindustry.world.consumers.ConsumeItems.ConsumeItems(ItemStack[]),0,1,1,1
mindustry.world.consumers.ConsumeItems.apply(Block),1,1,1,2
"mindustry.world.consumers.ConsumeItems.build(Building, Table)",5,1,3,3
mindustry.world.consumers.ConsumeItems.display(Stats),2,1,2,3
mindustry.world.consumers.ConsumeItems.efficiency(Building),2,1,2,3
mindustry.world.consumers.ConsumeItems.trigger(Building),1,1,2,2
mindustry.world.consumers.ConsumeLiquid.ConsumeLiquid(),0,1,1,1
"mindustry.world.consumers.ConsumeLiquid.ConsumeLiquid(Liquid, float)",0,1,1,1
mindustry.world.consumers.ConsumeLiquid.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeLiquid.build(Building, Table)",0,1,1,1
mindustry.world.consumers.ConsumeLiquid.consumes(Liquid),0,1,1,1
mindustry.world.consumers.ConsumeLiquid.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeLiquid.efficiency(Building),1,2,1,2
mindustry.world.consumers.ConsumeLiquid.update(Building),0,1,1,1
mindustry.world.consumers.ConsumeLiquidBase.ConsumeLiquidBase(),0,1,1,1
mindustry.world.consumers.ConsumeLiquidBase.ConsumeLiquidBase(float),0,1,1,1
mindustry.world.consumers.ConsumeLiquidBase.apply(Block),0,1,1,1
mindustry.world.consumers.ConsumeLiquidFilter.ConsumeLiquidFilter(),0,1,1,1
"mindustry.world.consumers.ConsumeLiquidFilter.ConsumeLiquidFilter(Boolf<Liquid>, float)",0,1,1,1
mindustry.world.consumers.ConsumeLiquidFilter.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeLiquidFilter.build(Building, Table)",1,1,2,2
mindustry.world.consumers.ConsumeLiquidFilter.consumes(Liquid),0,1,1,1
mindustry.world.consumers.ConsumeLiquidFilter.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeLiquidFilter.efficiency(Building),2,2,2,3
mindustry.world.consumers.ConsumeLiquidFilter.efficiencyMultiplier(Building),1,1,2,2
mindustry.world.consumers.ConsumeLiquidFilter.getConsumed(Building),6,4,5,6
mindustry.world.consumers.ConsumeLiquidFilter.liquidEfficiencyMultiplier(Liquid),0,1,1,1
mindustry.world.consumers.ConsumeLiquidFilter.update(Building),1,1,2,2
mindustry.world.consumers.ConsumeLiquidFlammable.ConsumeLiquidFlammable(),0,1,1,1
mindustry.world.consumers.ConsumeLiquidFlammable.ConsumeLiquidFlammable(float),0,1,1,1
"mindustry.world.consumers.ConsumeLiquidFlammable.ConsumeLiquidFlammable(float, float)",0,1,1,1
mindustry.world.consumers.ConsumeLiquidFlammable.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeLiquidFlammable.liquidEfficiencyMultiplier(Liquid),0,1,1,1
mindustry.world.consumers.ConsumeLiquids.ConsumeLiquids(),0,1,1,1
mindustry.world.consumers.ConsumeLiquids.ConsumeLiquids(LiquidStack[]),0,1,1,1
mindustry.world.consumers.ConsumeLiquids.apply(Block),1,1,1,2
"mindustry.world.consumers.ConsumeLiquids.build(Building, Table)",5,1,3,3
mindustry.world.consumers.ConsumeLiquids.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumeLiquids.efficiency(Building),2,2,2,3
mindustry.world.consumers.ConsumeLiquids.update(Building),1,1,2,2
"mindustry.world.consumers.ConsumeLiquidsDynamic.ConsumeLiquidsDynamic(Func<T, LiquidStack[]>)",0,1,1,1
mindustry.world.consumers.ConsumeLiquidsDynamic.apply(Block),0,1,1,1
"mindustry.world.consumers.ConsumeLiquidsDynamic.build(Building, Table)",3,1,2,2
mindustry.world.consumers.ConsumeLiquidsDynamic.efficiency(Building),2,2,2,3
"mindustry.world.consumers.ConsumeLiquidsDynamic.rebuild(Building, Table)",4,1,4,4
mindustry.world.consumers.ConsumeLiquidsDynamic.update(Building),1,1,2,2
"mindustry.world.consumers.ConsumePayloadDynamic.ConsumePayloadDynamic(Func<T, Seq<PayloadStack>>)",0,1,1,1
"mindustry.world.consumers.ConsumePayloadDynamic.build(Building, Table)",3,1,2,2
mindustry.world.consumers.ConsumePayloadDynamic.display(Stats),0,1,1,1
mindustry.world.consumers.ConsumePayloadDynamic.efficiency(Building),3,3,2,3
"mindustry.world.consumers.ConsumePayloadDynamic.rebuild(Building, Table)",5,1,3,3
mindustry.world.consumers.ConsumePayloadDynamic.trigger(Building),1,1,2,2
mindustry.world.consumers.ConsumePayloadFilter.ConsumePayloadFilter(Boolf<UnlockableContent>),0,1,1,1
"mindustry.world.consumers.ConsumePayloadFilter.build(Building, Table)",1,1,2,2
mindustry.world.consumers.ConsumePayloadFilter.display(Stats),1,1,1,2
mindustry.world.consumers.ConsumePayloadFilter.efficiency(Building),3,3,2,3
mindustry.world.consumers.ConsumePayloadFilter.trigger(Building),3,3,3,3
mindustry.world.consumers.ConsumePayloads.ConsumePayloads(Seq<PayloadStack>),0,1,1,1
"mindustry.world.consumers.ConsumePayloads.build(Building, Table)",5,1,3,3
mindustry.world.consumers.ConsumePayloads.display(Stats),1,1,2,2
mindustry.world.consumers.ConsumePayloads.efficiency(Building),3,3,2,3
mindustry.world.consumers.ConsumePayloads.trigger(Building),1,1,2,2
mindustry.world.consumers.ConsumePower.ConsumePower(),0,1,1,1
"mindustry.world.consumers.ConsumePower.ConsumePower(float, float, boolean)",0,1,1,1
mindustry.world.consumers.ConsumePower.apply(Block),0,1,1,1
mindustry.world.consumers.ConsumePower.display(Stats),2,1,3,3
mindustry.world.consumers.ConsumePower.efficiency(Building),0,1,1,1
mindustry.world.consumers.ConsumePower.ignore(),0,1,1,1
mindustry.world.consumers.ConsumePower.requestedPower(Building),3,1,2,3
"mindustry.world.consumers.ConsumePowerCondition.ConsumePowerCondition(float, Boolf<Building>)",0,1,1,1
mindustry.world.consumers.ConsumePowerCondition.requestedPower(Building),1,1,1,2
mindustry.world.consumers.ConsumePowerDynamic.ConsumePowerDynamic(Floatf<Building>),0,1,1,1
"mindustry.world.consumers.ConsumePowerDynamic.ConsumePowerDynamic(float, Floatf<Building>)",0,1,1,1
mindustry.world.consumers.ConsumePowerDynamic.display(Stats),1,1,2,2
mindustry.world.consumers.ConsumePowerDynamic.requestedPower(Building),0,1,1,1
mindustry.world.draw.DrawArcSmelt.draw(Building),8,1,6,6
mindustry.world.draw.DrawBlock.draw(Building),0,1,1,1
mindustry.world.draw.DrawBlock.drawLight(Building),0,1,1,1
"mindustry.world.draw.DrawBlock.drawPlan(Block, BuildPlan, Eachable<BuildPlan>)",0,1,1,1
mindustry.world.draw.DrawBlock.expectCrafter(Block),1,2,1,2
mindustry.world.draw.DrawBlock.finalIcons(Block),4,2,4,4
"mindustry.world.draw.DrawBlock.getRegionsToOutline(Block, Seq<TextureRegion>)",0,1,1,1
mindustry.world.draw.DrawBlock.icons(Block),0,1,1,1
mindustry.world.draw.DrawBlock.load(Block),0,1,1,1
mindustry.world.draw.DrawBlurSpin.DrawBlurSpin(),0,1,1,1
"mindustry.world.draw.DrawBlurSpin.DrawBlurSpin(String, float)",0,1,1,1
mindustry.world.draw.DrawBlurSpin.draw(Building),1,1,1,2
mindustry.world.draw.DrawBlurSpin.icons(Block),0,1,1,1
mindustry.world.draw.DrawBlurSpin.load(Block),0,1,1,1
mindustry.world.draw.DrawBubbles.DrawBubbles(),0,1,1,1
mindustry.world.draw.DrawBubbles.DrawBubbles(Color),0,1,1,1
mindustry.world.draw.DrawBubbles.draw(Building),8,2,4,5
mindustry.world.draw.DrawCells.draw(Building),6,1,4,4
mindustry.world.draw.DrawCells.load(Block),0,1,1,1
mindustry.world.draw.DrawCircles.DrawCircles(),0,1,1,1
mindustry.world.draw.DrawCircles.DrawCircles(Color),0,1,1,1
mindustry.world.draw.DrawCircles.draw(Building),2,2,2,3
mindustry.world.draw.DrawCrucibleFlame.draw(Building),4,1,4,4
mindustry.world.draw.DrawCultivator.draw(Building),3,1,3,3
mindustry.world.draw.DrawCultivator.load(Block),0,1,1,1
mindustry.world.draw.DrawDefault.draw(Building),0,1,1,1
"mindustry.world.draw.DrawDefault.drawPlan(Block, BuildPlan, Eachable<BuildPlan>)",0,1,1,1
mindustry.world.draw.DrawDefault.icons(Block),0,1,1,1
mindustry.world.draw.DrawFade.draw(Building),0,1,1,1
mindustry.world.draw.DrawFade.load(Block),0,1,1,1
mindustry.world.draw.DrawFlame.DrawFlame(),0,1,1,1
mindustry.world.draw.DrawFlame.DrawFlame(Color),0,1,1,1
mindustry.world.draw.DrawFlame.draw(Building),2,1,3,3
mindustry.world.draw.DrawFlame.drawLight(Building),0,1,1,1
mindustry.world.draw.DrawFlame.load(Block),0,1,1,1
mindustry.world.draw.DrawFrames.draw(Building),1,1,2,2
mindustry.world.draw.DrawFrames.icons(Block),0,1,1,1
mindustry.world.draw.DrawFrames.load(Block),1,1,2,2
mindustry.world.draw.DrawGlowRegion.DrawGlowRegion(),0,1,1,1
mindustry.world.draw.DrawGlowRegion.DrawGlowRegion(String),0,1,1,1
mindustry.world.draw.DrawGlowRegion.DrawGlowRegion(boolean),0,1,1,1
mindustry.world.draw.DrawGlowRegion.DrawGlowRegion(float),0,1,1,1
mindustry.world.draw.DrawGlowRegion.draw(Building),3,2,3,4
mindustry.world.draw.DrawGlowRegion.load(Block),0,1,1,1
mindustry.world.draw.DrawHeatInput.DrawHeatInput(),0,1,1,1
mindustry.world.draw.DrawHeatInput.DrawHeatInput(String),0,1,1,1
mindustry.world.draw.DrawHeatInput.draw(Building),6,1,4,4
"mindustry.world.draw.DrawHeatInput.drawPlan(Block, BuildPlan, Eachable<BuildPlan>)",0,1,1,1
mindustry.world.draw.DrawHeatInput.load(Block),0,1,1,1
mindustry.world.draw.DrawHeatOutput.DrawHeatOutput(),0,1,1,1
"mindustry.world.draw.DrawHeatOutput.DrawHeatOutput(int, boolean)",0,1,1,1
mindustry.world.draw.DrawHeatOutput.draw(Building),8,1,6,7
"mindustry.world.draw.DrawHeatOutput.drawPlan(Block, BuildPlan, Eachable<BuildPlan>)",1,1,1,2
mindustry.world.draw.DrawHeatOutput.load(Block),0,1,1,1
mindustry.world.draw.DrawHeatRegion.DrawHeatRegion(),0,1,1,1
mindustry.world.draw.DrawHeatRegion.DrawHeatRegion(String),0,1,1,1
